1 1:0.804158 2:0.191855 3:0.283614 4:0.374621 5:0.69108 6:0.33445 7:0.78347 8:0.365251
-1 1:0.857915 2:0.882066 3:0.309978 4:0.282103 5:0.734004 6:0.319583 7:0.268704 8:0.677109
-1 1:0.855139 2:0.908975 3:0.23291 4:0.325287 5:0.716565 6:0.221307 7:0.291136 8:0.729505
1 1:0.907862 2:0.908975 3:0.300114 4:0.271642 5:0.595425 6:0.296206 7:0.381718 8:0.646592
-1 1:0.81914 2:0.191855 3:0.141993 4:0.247614 5:0.834326 6:0.350724 7:0.794526 8:0.309291
-1 1:0.77133 2:0.191855 3:0.280324 4:0.403107 5:0.616569 6:0.366283 7:0.349023 8:0.567783
-1 1:0.791859 2:0.364596 3:0.298078 4:0.239898 5:0.678042 6:0.225958 7:0.388361 8:0.648391
1 1:0.841597 2:0.171555 3:0.326972 4:0.554976 5:0.607547 6:0.218552 7:0.215106 8:0.71241
-1 1:0.880665 2:0.895573 3:0.350132 4:0.465752 5:0.572496 6:0.325082 7:0.445269 8:0.592939
1 1:0.834292 2:0.882066 3:0.469084 4:0.769717 5:0.240093 6:0.319583 7:0.381718 8:0.677109
1 1:0.923237 2:0.882066 3:0.378224 4:0.309385 5:0.610834 6:0.151458 7:0.375187 8:0.729505
-1 1:0.81166 2:0.854733 3:0.227498 4:0.376079 5:0.689431 6:0.412907 7:0.381718 8:0.646592
-1 1:0.85202 2:0.826964 3:0.354287 4:0.388703 5:0.611376 6:0.211648 7:0.222679 8:0.817465
1 1:0.891636 2:0.908975 3:0.428366 4:0.372874 5:0.557839 6:0.436189 7:0.550894 8:0.432296
-1 1:0.811275 2:0.895573 3:0.305003 4:0.357928 5:0.664166 6:0.436189 7:0.409946 8:0.524287
-1 1:0.86251 2:0.854733 3:0.273861 4:0.292925 5:0.689431 6:0.187786 7:0.193895 8:0.848354
-1 1:0.822732 2:0.908975 3:0.367235 4:0.459023 5:0.595425 6:0.314176 7:0.375187 8:0.608479
1 1:0.924599 2:0.895573 3:0.300114 4:0.217906 5:0.625728 6:0.207037 7:0.188817 8:0.808114
1 1:0.838152 2:0.191855 3:0.212851 4:0.290002 5:0.69108 6:0.329422 7:0.527177 8:0.471055
1 1:0.920819 2:0.854733 3:0.273861 4:0.292925 5:0.689431 6:0.174759 7:0.347179 8:0.699283
-1 1:0.853446 2:0.882066 3:0.300114 4:0.352079 5:0.686299 6:0.283122 7:0.366408 8:0.66263
-1 1:0.840666 2:0.868454 3:0.360926 4:0.342463 5:0.494321 6:0.301513 7:0.331406 8:0.623756
-1 1:0.694895 2:0.171555 3:0.147665 4:0.341364 5:0.752868 6:0.598644 7:0.546562 8:0.545483
1 1:0.852877 2:0.151015 3:0.141993 4:0.290002 5:0.786611 6:0.309478 7:0.369512 8:0.690294
1 1:0.901999 2:0.895573 3:0.23724 4:0.303886 5:0.755717 6:0.314176 7:0.375187 8:0.608479
-1 1:0.838152 2:0.882066 3:0.309978 4:0.363878 5:0.641647 6:0.296206 7:0.381718 8:0.616054
1 1:0.898357 2:0.908975 3:0.300114 4:0.217906 5:0.625728 6:0.337345 7:0.40318 8:0.578159
1 1:0.860905 2:0.171555 3:0.206411 4:0.57322 5:0.583614 6:0.263444 7:0.494551 8:0.628271
1 1:0.898562 2:0.868454 3:0.269106 4:0.506897 5:0.587652 6:0.225958 7:0.381718 8:0.677109
-1 1:0.858737 2:0.868454 3:0.269106 4:0.149577 5:0.804965 6:0.283122 7:0.251447 8:0.755608
-1 1:0.75668 2:0.211919 3:0.276266 4:0.490206 5:0.536355 6:0.284358 7:0.339176 8:0.699283
-1 1:0.79493 2:0.171555 3:0.291156 4:0.426976 5:0.656022 6:0.487345 7:0.268704 8:0.579374
-1 1:0.885924 2:0.868454 3:0.269106 4:0.149577 5:0.804965 6:0.202504 7:0.296974 8:0.768503
1 1:0.750833 2:0.0878964 3:1 4:0.739783 5:0.145808 6:0.329422 7:0.527177 8:0.51945
1 1:0.832982 2:0.68103 3:0.646871 4:0.304664 5:0.560445 6:0.296206 7:0.353483 8:0.646592
-1 1:0.829311 2:0.882066 3:0.27772 4:0.352079 5:0.656022 6:0.235494 7:0.30895 8:0.693646
1 1:0.872505 2:0.798742 3:0.360926 4:0.204803 5:0.742941 6:0.215909 7:0.407927 8:0.681464
1 1:0.937378 2:0.908975 3:0.300114 4:0.244783 5:0.777062 6:0.342944 7:0.296974 8:0.616054
1 1:0.910702 2:0.882066 3:0.0859277 4:0.690689 5:0.536737 6:0.306908 7:0.30895 8:0.66263
-1 1:0.820588 2:0.34623 3:0.325691 4:0.420868 5:0.595425 6:0.159685 7:0.507811 8:0.60527
-1 1:0.861977 2:0.854733 3:0.344869 4:0.083182 5:0.716565 6:0.245355 7:0.379774 8:0.584434
-1 1:0.85819 2:0.854733 3:0.292075 4:0.177201 5:0.77396 6:0.245355 7:0.292103 8:0.67921
-1 1:0.811275 2:0.191855 3:0.206411 4:0.281749 5:0.772349 6:0.218552 7:0.304412 8:0.71241
-1 1:0.817676 2:0.191855 3:0.318962 4:0.332339 5:0.738861 6:0.138133 7:0.339176 8:0.699283
-1 1:0.706076 3:0.291156 4:0.512366 5:0.607547 6:0.584824 7:0.803459 8:0.355233
1 1:0.838468 2:0.191855 3:0.415706 4:0.490206 5:0.489065 6:0.144403 7:0.304412 8:0.760495
-1 1:0.826579 2:0.171555 3:0.219459 4:0.341364 5:0.704461 6:0.165606 7:0.276782 8:0.833649
-1 1:0.859282 2:0.854733 3:0.273861 4:0.292925 5:0.689431 6:0.254314 7:0.302913 8:0.716048
-1 1:0.832982 2:0.908975 3:0.32959 4:0.125301 5:0.780012 6:0.342944 7:0.296974 8:0.616054
-1 1:0.841287 2:0.895573 3:0.317501 4:0.0796113 5:0.768067 6:0.254314 7:0.331406 8:0.68531
-1 1:0.826234 2:0.770054 3:0.230871 4:0.560782 5:0.578892 6:0.378143 7:0.165103 8:0.786548
-1 1:0.783162 2:0.171555 3:0.326972 4:0.298475 5:0.801248 6:0.107255 7:0.259772 8:0.760495
1 1:0.906902 2:0.868454 3:0.327574 4:0.357928 5:0.603067 6:0.168189 7:0.373032 8:0.7646
-1 1:0.842214 2:0.854733 3:0.273861 4:0.292925 5:0.689431 6:0.245355 7:0.292103 8:0.67921
-1 1:0.778843 2:0.191855 3:0.249065 4:0.328403 5:0.658838 6:0.403097 7:0.438158 8:0.567783
