-1 1:0.834618 2:0.882066 3:0.389589 4:0.383862 5:0.623834 6:0.283122 7:0.337685 8:0.66263
-1 1:0.644661 2:0.171555 3:0.183572 4:0.469697 5:0.849591 6:0.598644 7:0.546562 8:0.545483
-1 1:0.873245 2:0.895573 3:0.350132 4:0.303886 5:0.694694 6:0.170559 7:0.257576 8:0.721086
-1 1:0.778843 2:0.0878964 3:0.775415 4:0.379977 5:0.556995 6:0.338273 7:0.0421098 8:0.823234
-1 1:0.844353 2:0.895573 3:0.4566 4:0.43232 5:0.595425 6:0.325082 7:0.274407 8:0.716048
-1 1:0.822021 2:0.895573 3:0.344869 4:0.405593 5:0.656022 6:0.301513 7:0.331406 8:0.623756
-1 1:0.835267 2:0.882066 3:0.282426 4:0.357928 5:0.664166 6:0.235494 7:0.30895 8:0.693646
-1 1:0.890989 2:0.908975 3:0.202733 4:0.114025 5:0.91606 6:0.27281 7:0.353483 8:0.616054
-1 1:0.763384 2:0.191855 3:0.354287 4:0.58522 5:0.403742 6:0.312392 7:0.329582 8:0.686492
-1 1:0.83199 2:0.826964 3:0.354287 4:0.388703 5:0.611376 6:0.283122 7:0.280206 8:0.755608
1 1:0.932663 2:0.868454 3:0.292075 4:0.177201 5:0.77396 6:0.30362 7:0.0863814 8:0.801884
-1 1:0.848828 2:0.191855 3:0.141993 4:0.374621 5:0.738861 6:0.2078 7:0.137224 8:0.80284
-1 1:0.742208 2:0.171555 3:0.219459 4:0.212527 5:0.946188 6:0.357191 7:0.383185 8:0.651746
1 1:0.90457 2:0.854733 3:0.250684 4:0.376079 5:0.626775 6:0.163901 7:0.222679 8:0.817465
-1 1:0.642058 2:0.0663361 3:0.177434 4:0.332339 5:0.738861 6:0.704245 7:0.413975 8:0.537409
1 1:0.832982 2:0.211919 3:0.31116 4:0.53174 5:0.441745 6:0.159685 7:0.388361 8:0.691458
-1 1:0.72746 2:0.171555 3:0.354287 4:0.543208 5:0.499646 6:0.375613 7:0.178155 8:0.677109
1 1:0.878552 2:0.171555 3:0.25532 4:0.212527 5:0.801248 6:0.188422 7:0.313931 8:0.725879
-1 1:0.762289 2:0.191855 3:0.212851 4:0.290002 5:0.69108 6:0.403097 7:0.393605 8:0.51945
-1 1:0.779815 2:0.191855 3:0.261721 4:0.420868 5:0.595425 6:0.292513 7:0.393605 8:0.567783
1 1:0.837516 2:0.151015 3:0.212851 4:0.290002 5:0.786611 6:0.34736 7:0.552418 8:0.591273
-1 1:0.79493 2:0.151015 3:0.248242 4:0.290002 5:0.69108 6:0.233561 7:0.277875 8:0.789055
-1 1:0.790073 2:0.191855 3:0.389589 4:0.416849 5:0.547551 6:0.0599844 7:0.268704 8:0.777452
1 1:0.929265 2:0.908975 3:0.25532 4:0.298475 5:0.716565 6:0.314176 7:0.319163 8:0.729505
-1 1:0.73436 2:0.364596 3:0.382379 4:0.208363 5:0.663835 6:0.292078 7:0.22877 8:0.863246
-1 1:0.769777 2:0.191855 3:0.354287 4:0.374621 5:0.547551 6:0.403097 7:0.438158 8:0.567783
1 1:0.927948 2:0.882066 3:0.264434 4:0.254802 5:0.795509 6:0.225958 7:0.325236 8:0.707597
-1 1:0.791859 2:0.191855 3:0.212851 4:0.205168 5:0.977298 6:0.107255 7:0.12568 8:0.90438
-1 1:0.840666 2:0.882066 3:0.287209 4:0.282103 5:0.734004 6:0.425535 7:0.280206 8:0.693646
-1 1:0.831658 2:0.895573 3:0.282426 4:0.357928 5:0.664166 6:0.319583 7:0.381718 8:0.616054
1 1:0.906322 2:0.854733 3:0.250684 4:0.376079 5:0.626775 6:0.296206 7:0.381718 8:0.646592
-1 1:0.687536 2:0.109192 3:0.10653 4:0.416849 5:0.738861 6:0.752514 7:1
-1 1:0.810889 2:0.908975 3:0.367235 4:0.378847 5:0.686299 6:0.296206 7:0.353483 8:0.646592
-1 1:0.860366 2:0.895573 3:0.350132 4:0.411884 5:0.603067 6:0.207037 7:0.188817 8:0.808114
-1 1:0.802936 2:0.191855 3:0.10653 4:0.205168 5:0.882014 6:0.270681 7:0.245564 8:0.865194
1 1:0.895038 2:0.882066 3:0.46279 4:0.411884 5:0.511325 6:0.378143 7:0.165103 8:0.786548
-1 1:0.790073 2:0.191855 3:0.17145 4:0.365291 5:0.72521 6:0.292513 7:0.393605 8:0.760495
-1 1:0.788718 2:0.191855 3:0.318962 4:0.247614 5:0.643268 6:0.284781 7:0.339688 8:0.637363
1 1:0.912379 2:0.908975 3:0.300114 4:0.459023 5:0.56511 6:0.436189 7:0.409946 8:0.524287
-1 1:0.824144 2:0.211919 3:0.101461 4:0.365291 5:0.72521 6:0.2078 7:0.137224 8:0.80284
-1 1:0.799621 2:0.908975 3:0.367235 4:0.405593 5:0.595425 6:0.412907 7:0.381718 8:0.646592
1 1:0.943866 2:0.854733 3:0.237969 4:0.199686 5:0.829711 6:0.245355 7:0.262853 8:0.71075
1 1:0.85764 2:0.171555 3:0.177434 4:0.162666 5:0.738861 6:0.263444 7:0.359132 8:0.823234
-1 1:0.820227 2:0.895573 3:0.305003 4:0.357928 5:0.664166 6:0.412907 7:0.381718 8:0.646592
-1 1:0.865403 2:0.868454 3:0.200138 4:0.397366 5:0.742941 6:0.225958 7:0.353483 8:0.677109
-1 1:0.864881 2:0.882066 3:0.309978 4:0.282103 5:0.764761 6:0.225958 7:0.296974 8:0.738061
1 1:0.914401 2:0.854733 3:0.273861 4:0.209561 5:0.783317 6:0.240381 7:0.111911 8:0.826971
1 1:0.906129 2:0.868454 3:0.434273 4:0.325287 5:0.534779 6:0.3603 7:0.401984 8:0.451184
-1 1:0.87973 2:0.908975 3:0.0661651 4:0.708696 5:0.519033 6:0.27281 7:0.0704771 8:0.798918
-1 1:0.735699 2:0.191855 3:0.248242 4:0.247614 5:0.786611 6:0.225958 7:0.388361 8:0.648391
-1 1:0.783162 2:0.211919 3:0.206411 4:0.323547 5:0.772349 6:0.211339 7:0.162857 8:0.888834
-1 1:0.795795 2:0.211919 3:0.0664322 4:0.281749 5:0.819457 6:0.211339 7:0.515043 8:0.460992
-1 1:0.847649 2:0.895573 3:0.417754 4:0.465752 5:0.450099 6:0.30362 7:0.0863814 8:0.801884
-1 1:0.81166 2:0.191855 3:0.17145 4:0.365291 5:0.72521 6:0.181503 7:0.349023 8:0.664263
-1 1:0.820948 2:0.882066 3:0.40621 4:0.372874 5:0.557839 6:0.330672 7:0.366408 8:0.631584
-1 1:0.895038 2:0.882066 3:0.202733 4:0.114025 5:0.91606 6:0.187786 7:0.193895 8:0.848354
-1 1:0.783162 2:0.151015 3:0.291156 4:0.384199 5:0.607547 6:0.233561 7:0.277875 8:0.789055
-1 1:0.718698 2:0.171555 3:0.219459 4:0.512366 5:0.607547 6:0.357191 7:0.383185 8:0.699283
-1 1:0.782689 2:0.882066 3:0.53713 4:0.742816 5:0.240093 6:0.207037 7:0.188817 8:0.808114
-1 1:0.894828 2:0.922274 3:0.339693 4:0.399407 5:0.58791 6:0.314176 7:0.375187 8:0.608479
1 1:0.92409 2:0.908975 3:0.312589 4:0.155694 5:0.610329 6:0.296206 7:0.325236 8:0.707597
1 1:0.846459 2:0.171555 3:0.219459 4:0.341364 5:0.704461 6:0.159685 7:0.507811 8:0.60527
1 1:0.891636 2:0.895573 3:0.384048 4:0.425915 5:0.557839 6:0.325082 7:0.445269 8:0.592939
-1 1:0.857915 2:0.922274 3:0.273094 4:0.425915 5:0.648011 6:0.314176 7:0.40318 8:0.608479
-1 1:0.863832 2:0.908975 3:0.344869 4:0.405593 5:0.656022 6:0.225958 7:0.353483 8:0.677109
-1 1:0.609621 2:0.171555 3:0.38088 4:0.281749 5:0.678042 6:0.375613 7:0.178155 8:0.677109
-1 1:0.831658 2:0.882066 3:0.411934 4:0.378847 5:0.595425 6:0.306908 7:0.337685 8:0.66263
-1 1:0.745971 2:0.191855 3:0.283614 4:0.543208 5:0.403742 6:0.307194 7:0.325914 8:0.582912
-1 1:0.838152 2:0.868454 3:0.360926 4:0.204803 5:0.742941 6:0.283122 7:0.337685 8:0.66263
-1 1:0.667211 2:0.0878964 3:1 4:0.739783 5:0.145808 6:0.181503 7:0.259772 8:0.71241
